0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174
11,55,82,96,174,177,181,187,195,222,227,228,229,233,241,243,259,260,273,336,341,358,403,431,435,510,518,566,684,688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,136,153,175,192,262,268,271,299,303,306,319,328,340,490,519,611,811,875,1019,1020,1021,1022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,13,15,25,49,50,66,86,88,100,107,111,137,173,181,187,202,222,235,236,237,240,269,275,301,321,402,405,451,475,702,709,724,731,736,875,880,1074,1119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10,18,19,20,23,26,52,56,57,59,60,64,65,69,70,89,97,117,126,127,133,134,135,136,137,141,151,153,154,156,162,170,171,174,175,192,193,194,196,198,208,209,211,212,215,216,218,220,221,223,234,242,268,270,273,275,276,285,286,300,302,303,306,310,316,317,322,340,356,385,387,402,427,430,443,447,454,462,464,474,479,480,481,482,485,488,490,491,493,496,497,498,500,505,509,511,515,516,519,523,527,528,530,531,543,568,606,607,609,610,617,632,639,644,647,650,651,654,656,660,661,676,684,699,703,708,709,721,730,732,750,753,762,811,836,837,847,863,875,889,896,905,942,954,965,972,990,1005,1039,1045,1097,1134,1136,1137,1192,1195,1196,1199,1201,1202,1203,1204,1205,,,,,,,,,,,
1,2,4,7,11,13,29,38,49,53,55,56,68,72,73,82,88,91,95,117,127,153,154,168,172,174,175,182,185,187,188,194,200,201,204,210,211,218,219,226,227,228,229,230,231,234,235,241,245,258,260,265,269,272,273,288,294,301,316,319,327,328,332,334,338,373,384,386,396,409,411,431,435,436,447,449,450,476,501,511,522,541,546,548,550,566,596,612,650,652,655,665,667,671,672,684,751,760,771,778,785,792,841,856,879,892,947,993,1052,1076,1228,1240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,262,269,272,300,308,310,326,332,336,337,343,346,359,360,361,682,683,691,748,749,1022,1024,1062,1175,1176,1233,1395,1429,1431,1432,1433,1434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,87,127,199,246,268,269,317,318,382,423,527,528,631,645,735,863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,14,16,17,22,40,41,42,47,70,72,81,82,90,95,97,101,111,116,117,121,123,125,132,137,139,144,147,169,172,173,174,176,179,181,183,184,186,189,198,202,204,209,210,211,212,215,216,217,224,232,235,240,250,251,257,274,278,280,285,301,312,315,316,330,336,339,340,345,348,367,372,381,382,386,390,394,396,401,402,403,408,411,413,417,428,431,433,451,455,461,462,473,475,476,483,527,535,537,552,569,588,597,629,652,658,703,707,724,728,734,737,739,741,742,747,749,761,762,763,768,781,800,805,818,819,821,856,883,884,888,906,924,929,930,931,934,946,955,969,988,1038,1051,1053,1060,1074,1075,1079,1101,1105,1119,1133,1239,1280,1288,1375,1502,,,,,,,,,,,,,,,,,
1,2,4,7,8,10,11,12,22,23,24,26,28,31,33,42,44,47,48,55,56,65,66,69,70,72,79,83,85,86,87,88,92,95,98,99,100,108,111,117,121,129,131,132,147,150,151,152,154,156,160,161,164,168,172,174,175,176,178,180,181,182,183,184,186,190,201,202,204,209,211,217,218,222,228,232,245,246,249,250,255,257,260,268,269,271,273,275,285,286,298,301,302,305,311,318,321,324,327,328,333,336,338,340,357,367,393,396,403,405,428,433,447,464,466,475,482,484,498,502,506,507,508,523,527,529,537,546,550,559,568,582,628,631,644,651,658,663,672,676,678,682,684,686,708,709,715,718,732,746,749,772,778,792,845,856,865,874,875,896,919,952,959,960,1007,1017,1019,1069,1070,1073,1101,1103,1129,1170,1218
1,3,4,15,25,26,33,41,42,50,56,63,70,72,85,88,90,94,100,105,111,121,122,125,151,168,173,186,204,210,237,238,257,273,275,284,288,290,294,367,368,383,388,393,401,407,475,546,575,579,585,591,628,710,716,732,734,746,762,763,765,780,781,785,790,796,859,871,949,959,998,1011,1037,1041,1048,1051,1079,1094,1118,1183,1188,1249,1437,1446,1496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9,12,28,31,38,50,58,60,61,71,79,81,86,89,95,97,98,100,109,121,134,139,151,152,161,163,168,170,174,179,182,183,190,194,196,199,200,204,208,211,213,215,217,222,228,234,238,258,265,270,272,286,302,306,315,318,340,356,357,382,414,416,419,423,425,435,443,462,463,479,480,498,502,506,512,514,515,521,529,549,554,561,566,570,573,582,610,614,629,651,654,663,664,665,670,684,699,708,712,729,736,744,750,751,770,845,956,959,1039,1045,1065,1101,1113,1116,1404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,4,8,13,25,28,47,49,56,63,66,71,72,73,79,82,85,86,87,88,94,95,96,97,100,111,117,124,125,126,127,132,133,134,135,153,154,158,159,163,167,168,173,174,178,182,183,185,186,194,196,197,202,203,205,208,211,229,230,231,235,237,239,274,283,367,385,399,403,414,427,429,430,432,435,447,474,476,478,480,482,483,484,485,491,494,495,496,497,498,502,510,519,521,523,525,582,588,589,591,602,603,604,607,610,633,655,662,663,684,692,700,705,708,710,712,715,732,735,737,756,796,837,953,969,993,1020,1041,1126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,14,15,25,50,100,147,181,236,237,245,250,257,258,269,270,273,275,276,283,284,286,289,300,302,303,307,321,326,327,328,332,333,460,471,508,515,690,877,936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
